label,workload,concurrency,max_num_seqs,status,ok,fail,rps,wall_time_s,summ_p50_s,summ_p90_s,summ_p99_s,summ_mean_s,overall_n,overall_p50,overall_p90,overall_p99,overall_mean,short_n,short_p50,short_p90,short_p99,short_mean,long_n,long_p50,long_p90,long_p99,long_mean
BAD_unfair,mix_50_50.jsonl,1,16,ok,200,0,1.3274453580398615,150.66533532899984,0.4564997665002011,1.2628918334000443,1.3126509481297852,0.7531380543800332,200,0.4564997665002011,1.2628918334000443,1.3126509481297852,0.7531380543800332,108,0.4545832910000627,0.4562671949001469,0.4577128504001529,0.4529719382222639,92,1.2057321414999933,1.291611651500034,1.314984017770048,1.1055069733478495
BAD_unfair,mix_50_50.jsonl,2,16,ok,200,0,2.735774531178786,73.10543969199989,0.7294287019999501,1.0670949840999129,1.2728879529300228,0.7302818060600111,200,0.7294287019999501,1.0670949840999129,1.2728879529300228,0.7302818060600111,108,0.4856505094999193,0.7261757410003611,0.7548245429899453,0.527250959361115,92,1.0104082345001189,1.2098956514994823,1.2845618086496462,0.9686223652282804
BAD_unfair,mix_50_50.jsonl,4,16,ok,200,0,4.6700946021121785,42.82568492500013,0.7736862624997229,1.3119352867994167,1.4478128510099122,0.850810805559986,200,0.7736862624997229,1.3119352867994167,1.4478128510099122,0.850810805559986,108,0.5164515335000033,0.9160796937998382,1.0260204009797962,0.6323199961851448,92,1.0862008389999571,1.331889519800552,1.4539503188399887,1.1073000165652345
BAD_unfair,mix_50_50.jsonl,8,16,ok,200,0,7.587553919106626,26.358956013000352,1.061564386500322,1.5502515289999792,1.8338411601599631,1.0479565756499734,200,1.061564386500322,1.5502515289999792,1.8338411601599631,1.0479565756499734,108,0.7775752679999641,1.1576080024996371,1.508733171470566,0.8130221561203614,92,1.3117844284997773,1.6303355478999948,1.898746242269508,1.3237491550977785
BAD_unfair,mix_50_50.jsonl,16,16,ok,200,0,11.004723338294466,18.17401436199998,1.3866753265001537,1.94180099219966,2.239641817339325,1.4102545029500242,200,1.3866753265001537,1.94180099219966,2.239641817339325,1.4102545029500242,108,1.1779466829998455,1.4928840835995287,1.8788020491798945,1.137707226129662,92,1.6988480320001145,2.1644360538996805,2.2442348939003023,1.7302013061739276
BAD_unfair,mix_50_50.jsonl,32,16,ok,200,0,13.177641760727404,15.17722242200034,2.401322499500111,2.84725692899965,3.2113994527500016,2.2777609203350178,200,2.401322499500111,2.84725692899965,3.2113994527500016,2.2777609203350178,108,2.1609930875001737,2.5888293921002514,2.8243611267997584,2.025571956148143,92,2.602757574999941,3.02129659559987,3.2478011113200687,2.573808834815261
BAD_unfair,mix_50_50.jsonl,48,16,ok,200,0,13.5873601567952,14.719562717999906,3.4134637825000027,3.905728256999737,4.683706924470162,3.1054342880299872,200,3.4134637825000027,3.905728256999737,4.683706924470162,3.1054342880299872,108,3.1805885875000968,3.625849702400137,3.886409269199639,2.661306411027757,92,3.623483505999957,4.161324778899507,4.701963317189875,3.626801795815215
BAD_unfair,mix_50_50.jsonl,64,16,ok,200,0,13.56217229220834,14.74690010500035,4.487614101999952,5.55122475420003,5.92128533037021,3.9236353450100334,200,4.487614101999952,5.55122475420003,5.92128533037021,3.9236353450100334,108,4.210552112000187,5.275453033599933,5.549597413889932,3.4065929802130053,92,4.704902037499778,5.751293288100533,5.953591726140012,4.530598121076111
BAD_unfair,mix_50_50.jsonl,1,32,ok,200,0,1.319700546027755,151.54953190099968,0.4585071044998585,1.2851719576006873,1.3025131908508043,0.7575627228949997,200,0.4585071044998585,1.2851719576006873,1.3025131908508043,0.7575627228949997,108,0.4560985480002273,0.4581555277995903,0.4647310370001651,0.4546560024259044,92,1.2205113850000089,1.295751452299828,1.3138086163705702,1.1131488730108945
BAD_unfair,mix_50_50.jsonl,2,32,ok,200,0,2.7475144660456343,72.79306532200007,0.7326798814997346,1.0579388416997062,1.2845087338600114,0.7275693316750085,200,0.7326798814997346,1.0579388416997062,1.2845087338600114,0.7275693316750085,108,0.4866224474999399,0.7266436451003756,0.7518741048500306,0.5284718820278074,92,1.0064154645001508,1.20490148429999,1.304730867520557,0.961292424739114
