workload,concurrency,total_requests,ok,fail,wall_time_s,rps,p50_s,p90_s,p99_s,mean_s
short_only,8,200,200,0,79.259569,2.523355,3.556058,3.573445,3.58166,3.106944
mix_90_10,8,200,200,0,88.173875,2.268246,3.640731,4.242185,4.532153,3.46905
mix_70_30,8,200,200,0,102.894511,1.943738,4.175408,4.893263,5.393245,4.073671
