label,workload,concurrency,max_num_batched_tokens,max_num_seqs,status,ok,fail,rps,wall_time_s,summ_p50_s,summ_p90_s,summ_p99_s,summ_mean_s,overall_n,overall_p50,overall_p90,overall_p99,overall_mean,short_n,short_p50,short_p90,short_p99,short_mean,long_n,long_p50,long_p90,long_p99,long_mean
FAIR,mix_50_50.jsonl,32,512,32,ok,200,0,4.7739069427383125,41.89440690799893,6.538063338500251,10.051916278400494,11.650624464311312,6.326771803814999,200,6.538063338500251,10.051916278400494,11.650624464311312,6.326771803814999,108,5.700893178500337,9.82951015200033,11.04561343220086,5.450860466324027,92,7.324492490499324,10.69760534039906,11.803358456799415,7.355015547826141
FAIR,mix_50_50.jsonl,32,768,32,ok,200,0,4.496788190271162,44.47618867900019,7.168644011999277,10.638225410400446,12.458947236409166,6.767052456260044,200,7.168644011999277,10.638225410400446,12.458947236409166,6.767052456260044,108,6.079049911500988,9.440910921799514,11.565459577679974,5.87627194934265,92,7.811397643499731,11.829339270700803,12.619337509100026,7.812751312206551
FAIR,mix_50_50.jsonl,32,1024,32,ok,200,0,4.62878574862813,43.20787585799917,6.846177819000332,10.400385828000982,12.450426094898628,6.638189802030029,200,6.846177819000332,10.400385828000982,12.450426094898628,6.638189802030029,108,5.957836782999038,9.36844137670032,11.648545842510174,5.7989586227778025,92,7.727086781499565,11.102250834599,12.695953527998938,7.62337422984786
FAIR,mix_50_50.jsonl,32,1536,32,ok,200,0,4.93623565600458,40.51670421299968,6.536018393999257,9.77039560800058,12.551667571029135,6.300779931695051,200,6.536018393999257,9.77039560800058,12.551667571029135,6.300779931695051,108,6.049184669500392,8.927496019200225,11.339547302259136,5.195483299611186,92,7.484597528499762,11.099740158099488,12.849217434401,7.598302065010893
FAIR,mix_50_50.jsonl,32,2048,32,ok,200,0,5.142610251883931,38.890755901000375,6.220672797498992,9.952831802999754,12.836772147889985,6.1075259088749405,200,6.220672797498992,9.952831802999754,12.836772147889985,6.1075259088749405,108,5.242645083500975,9.088806241499151,11.634322929649455,4.954119444453597,92,6.876012368000374,10.813758448100634,13.095143537509866,7.461524801891301
FAIR,mix_50_50.jsonl,32,3072,32,ok,200,0,5.047394199470207,39.62440659399908,5.869251001499833,12.248409651000838,14.762892733440312,6.074167827770006,200,5.869251001499833,12.248409651000838,14.762892733440312,6.074167827770006,108,4.171998398500364,9.718018442399798,13.4650120168395,5.006945141157438,92,6.78639641799964,13.087131549999867,14.840347183800295,7.326994459880414
FAIR,mix_50_50.jsonl,32,4096,32,ok,200,0,4.9214875423343445,40.63811973099837,5.746206747499855,11.342502787800914,13.4921599539093,6.31630838794501,200,5.746206747499855,11.342502787800914,13.4921599539093,6.31630838794501,108,4.271774764000838,9.250010083099724,12.276058925880672,5.179792080518534,92,7.578143443500267,12.853552295699776,14.159182433110274,7.650479705358698
FAIR,mix_50_50.jsonl,32,6144,32,ok,200,0,4.855451856665732,41.19081105199984,6.251804286499464,10.559758410099857,12.526496239879716,6.523903516429946,200,6.251804286499464,10.559758410099857,12.526496239879716,6.523903516429946,108,4.769298536999486,9.536749398599932,10.138313361230466,5.394349223629484,92,7.536337064999316,11.551510375799626,13.552710113720025,7.849902034065271
FAIR,mix_50_50.jsonl,32,8192,32,ok,200,0,4.694381891603586,42.604117990000304,6.372223630000917,11.948260389599636,13.636570797980458,6.760703774769936,200,6.372223630000917,11.948260389599636,13.636570797980458,6.760703774769936,108,5.12094993699975,10.116705205900326,11.122537572069463,5.366012466435189,92,7.117987094498858,13.02632711220067,13.668277937210132,8.397950093249857
FAIR,mix_50_50.jsonl,32,512,48,ok,200,0,4.350159302653165,45.97532781799964,7.265683960999922,11.06779229330059,12.6557075733505,6.892333238299971,200,7.265683960999922,11.06779229330059,12.6557075733505,6.892333238299971,108,6.386599014500462,9.74888357699947,11.727309814908784,5.969997132981445,92,7.979149082500044,11.76186574010062,12.745049207329377,7.975075622804327
FAIR,mix_50_50.jsonl,32,768,48,ok,200,0,4.495424487165533,44.48968068999966,7.27616895599931,10.63240531530064,12.424555847759436,6.77218617587997,200,7.27616895599931,10.63240531530064,12.424555847759436,6.77218617587997,108,6.0095259790005,9.463588503899157,11.19041713966062,5.873578816509188,92,7.833410821000143,11.266091292899183,12.812349811109982,7.827073076010888
FAIR,mix_50_50.jsonl,32,1024,48,ok,200,0,4.639837905091483,43.10495411499869,6.850167137500648,10.254886597201038,12.402030740709524,6.641359819819991,200,6.850167137500648,10.254886597201038,12.402030740709524,6.641359819819991,108,5.971218093000061,9.190451801099698,11.452060969410915,5.773687811277695,92,7.61763703250017,11.00123095620038,12.499424220010006,7.659931308108771
FAIR,mix_50_50.jsonl,32,1536,48,ok,200,0,4.958883039321445,40.33166308100044,6.358688529999199,9.91322223269908,12.320461778799611,6.265033039849905,200,6.358688529999199,9.91322223269908,12.320461778799611,6.265033039849905,108,5.009332692000498,9.12543566639979,11.365574441270612,5.301704908129624,92,7.482462969500375,11.09219931009866,12.788917264748362,7.395896498825886
FAIR,mix_50_50.jsonl,32,2048,48,ok,200,0,5.156202577341206,38.78823552800168,5.76040910249958,9.801642259500111,13.139559196688678,6.041139662374899,200,5.76040910249958,9.801642259500111,13.139559196688678,6.041139662374899,108,4.390145188999668,9.121439895700314,11.980805558188733,4.973625099703542,92,6.917792082999768,10.803169373200218,13.247488767009507,7.294308931597796
